name,genres,budget,link
My Fair Lady,"['Drama', 'Family', 'Musical']",17000000,https://imdb-video.media-imdb.com/vi24561433/1434659607842-pgv4ql-1703869446016.mp4?Expires=1713541304&Signature=VlG6IXV-iXPa4Y9tjfWs9jNKfvmllWS21om2k94LdKkmEHq1IKAEPc527JrK8gvVR5EymWhMqfdRnUEEcIhzcYzij1rcZJfSRU0i5i9MQmgl9M5h-aFwEEDdmEG6Jf9Fzqv92vk5H~qdYk9Nv4gyZ3yx8IAc5Arly4lnrL8Z6glJpxjRJKlEYEcYMQX2-il8-cgwLDFlDhgKSYVlJedkUMgmyh7jGH9HQo9O2jQtb5YO~eLME46PlgDyDMfr1JIIzUc3znahBmBB9X8lbZ72ZG7C5TN205AQz0T7BTcAa6sr~e1bWq4djOaRlNIlyw2jFbSZH9BxO5Rck8sSi2F1pg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Harry Potter and the Goblet of Fire,"['Adventure', 'Family', 'Fantasy']",150000000,https://imdb-video.media-imdb.com/vi2611740953/1434659607842-pgv4ql-1563933548291.mp4?Expires=1713541635&Signature=M7eRUwBP5LXzMdZ8hcZhW9i2HGU1KzTUaZoUIDHkyRZqefuwdl11GWyDX9kE1u6E3nclMZiKMHUSn3SgoN8SqMzmJeTQscoXvLM0dyiusb98zinEpcg-ArIOLTFxeu9Ed~2JHoi69vhZhd988NaRLDb59a34XSi~YMriavOCwtNjqEQkhvL59UZKNfPyB1QhGY39D1Uj~WtdG0KwYmdQSECtbPHmi9~J~RA4CbwyCbhVIDUB1m2OH~UrduyQW9woOt6QaAMaoSqW~viuvMHMwcJX1e2KJ0loLlFz8r~AgjhR6dOwSNoKLnsr7q7QSQQNB4czY2M~~NERtivRLLE-Jw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Stop Making Sense,"['Documentary', 'Music']",1200000,https://imdb-video.media-imdb.com/vi3774465817/1434659607842-pgv4ql-1693149101049.mp4?Expires=1713542183&Signature=fYdv6ag1-~SXZOkIDbBDaozLtvqUD98ggHluLAlAe1PHqciqexBzXZ8fN7TfGh5XkFbzlLeQFG-NnqC~02zwm5pSYThdqqXGweFFejLM~URorKWZtdArLOz90trQJc815AfMGsxcQs5uWr7SpKXryF1MNUX62dvFTBoxBH6mZum2vgC73MUuIy-6S1uNXvuWqA5Qha64v4p4qLrwOJYd6VZp78xXYAj6OzqpUT8zMAZE8wvvQ88GCTn9fcAEaJtS25uOaysFX096pJqK-KXT3TBAF1ebmwnaP5KfqAI2vPmzEOcsWLq6RgsrcTIZgjKukX03gDVn1SmzD91EU9M10A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Boss Baby,"['Animation', 'Adventure', 'Comedy']",125000000,https://imdb-video.media-imdb.com/vi4267488793/1434659607842-pgv4ql-1490018969231.mp4?Expires=1713541787&Signature=JqeObwuE9iwBQOfrrSXh4bluMsWREKXvJ7uV4KgJg4BBgSdyvRSvZLVbN0BCEevAq9i3OmSSdmDaEUShYoZ3AD~fyRn3wSIP9EquyMZoggmbVotu0afmqopFI5GBnPXGWRnyPcpXVl7rxZynwTYGwBa9~NvFGuqGWq-0aljSz6-JeDppL7aEKzbzTanfPJ18kQd-PPWS79Y~7frLjBbZjq46eeY~0D0m9XW5E4M8WQDt2Dn4nKNJRqnx5-chUT462vkVJJC0Auvzu~h2T3o5ET5tE7IAP5clVcjnvT732vZXJp9jZrp7J9HFaDEM6T0OhbAVD3AdvdTer2JZhcjcEg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Rebel Moon - Part Two: The Scargiver,"['Action', 'Adventure', 'Drama']",83000000,https://imdb-video.media-imdb.com/vi2191050265/1434659529640-260ouz-1710779972487.mp4?Expires=1713541926&Signature=sLSb6X7hhNgEtRelKGhwK0d5KyOOt9W1ixWTEW56qhHYH~YZ8SULRw5T2cYyQJnKhX6an~MM-6CLaeIDE3WuXpSlGImn5HL8-RYLXGPO2GcTwwmBFprsGYOhUyZc5xcYtpfFKBXqQVJ82HHM5CfMdCa5e56~777yu8eYKH3hA8tbPDjueSO6GKfE~4ZWgVftqFPXBhk0qPb8ZucD2JKk4auIcQcVorjtDZ639wH7XMXeuA7dgJAioa2gloWbA0QWjSvmZSfpGK~DDw15ouaMz~BaXaq7dbYrZtpmKdsI0ZIuWa9a06xiV6l5F0vhqmSXgSZttTwF45TTcxnwEo3A5w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Suspiria,"['Drama', 'Fantasy', 'Horror']",20000000,https://imdb-video.media-imdb.com/vi1749334809/1434659529640-260ouz-1537206485609.mp4?Expires=1713541917&Signature=Ege~rsQj4dWVIG5mkasj9gKlA2ZmiFgYSV57lTUKUR5vNQn9mQcJKZYJjOvqkzb7WeVDRoh2JsHq38jrlLDQm3N4DBP85gh2aFxSXa-kAQVeMHWNSzLsLbQf7MSmWwHspvrKedrbTTg-v0w9SuIwqCsUYVlV2xfR2Em5RF1p7yx~TkuLWDIAEFfbeZ2I~Bqnl9zgzjf0IXdgLGrfD7QAaJKwCsZDXqViQAEdOfHFXRL~AMRW~9Ke5RWSvqOtyvW0XMbbyXPvnZYbL2WtLZbnPkUbQszX7clEUp9JBqOeLXJdVJZUhYNFUMcr5saYLjSY96jyXBhJ~4TVUuh5-MEwfw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Five Nights at Freddy's,"['Horror', 'Mystery', 'Thriller']",20000000,https://imdb-video.media-imdb.com/vi348112665/1434659529640-260ouz-1687879091544.mp4?Expires=1713542237&Signature=T2PGfii~hwziXJK76x7UUyqnhXGObiLHjdpN-rtd32e-~-6E~dxBPCXJj4OrEihjj~tuud03-4-6oGi1GaYLW8KOpvGhwdS09TSVdXtUV-VUO9s19xnP41L3vaBHydzQ9aCPueTIhc~EV9XzTietf9iDcu~yjVtOyalDhkKqnb2Ife9i4WUC2rWO4TrpsvIGKa42unXnU0c7lsL-qyxXxbcH-naa4gp295pVQirljQ-g5NbdxZv0rXeQu0N6cGnDJ-HSQJB9yrj0nvmY7sAD677WTNIQPDsx8fDrVUwRUdaIk1co4mFubvUcEuuXSql2A8WVd4TDx7b7w0zzoT8TqQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Cleopatra,"['Biography', 'Drama', 'History']",44000000,https://imdb-video.media-imdb.com/vi2360911385/1434659607842-pgv4ql-1616203022073.mp4?Expires=1713541883&Signature=JFUiKJEcu8PAc4nU3EYMsVFxX6mLoIH3NfrAIz02m4DK6WO83vYsztU6BjZFisZWrj8FilnqNC-8y53sgNqI9RCuJChnFG1m808vxbmtUBoYMDZD86nNat1~9uvh941Qi4hUwEcsgUPNhj0ooOdETVzZY5xgLOo052lzi~ka2lTqAjf2-PnAmPMa~I7e58HXEaJ1-0mxpUgWFGHQ~xNckrRu1xGhFygEswrd3zW2MQDBvrZMVEovM-xGA~-BV2JrkTkETs8DGqs9e-DE4cY~BKhgDKoZw0qmOgZKBRbDUy7XYwb3Yndd59zxk2uWXUNE9IwcTsMeT8Edt3E-VPmp2A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Pixels,"['Action', 'Comedy', 'Fantasy']",88000000,https://imdb-video.media-imdb.com/vi3722883097/1401497881123-xszl4z-1432102451639.mp4?Expires=1713541268&Signature=RQIguevrNaMw-CULMGbH9oAzXJavjFnvok3CJ1hkdb5iteJlsWa1pTuDqnOe0zHCNTTDPB~0E0qzGfuBOkIZyVq0NTed2kuIK2i32V-MPggvimVOUfX5zuPmjhLKxm1pU0bLxiBo-kEDBUl21jGPQ5~GvvtyhFZ6acX0PDCJweAFP~vlTAlYb~q~iaKHhm~aUXwQUS-I6nAORobu17AKVKhCGCUrWeVbpq8xDRy5p2cEHgb~JasaaoJssaJeG3IpfFOL2JoltRg3ATyfOXRk8URhhjvMmIKzQhzcpAacIUgWZF4J4MmwA3P4z9uGo5owVvqva1hcs5WaZowTXmybww__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Christopher Robin,"['Adventure', 'Comedy', 'Drama']",75000000,https://imdb-video.media-imdb.com/vi1222949657/1434659529640-260ouz-1530291003899.mp4?Expires=1713542010&Signature=S6-RQF0fRXNVuEng3vUxNeuoyhQrXIuFibtnjkzxjI1M-em7-qL5JzgMtTdmVacyCnM68APgM4U25BCtSPtYGCJgL~z133SraSugngXlZHtNbyUrkn7G953REJ9tZR8K1PCW1BymJ3wAg3C4NBddXiauhZshd2EgntWofhQ0qyeeJouUe10mp6aqtAr~Oigr0~WL4mA1St6bneLAtewMxqerYwUJpenzucyWz8rYVkqy92muIm7rn81-WmWNZ41RuAVly9Zsp9JGZs0CYqNABcwrWthCedpeIUSuzePO0sNDrfe9FJj-QfZm-YSqXR82Lyf~1OeSkn66w6PM1oVdkg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
