name,genres,budget,link
The Guest,"['Action', 'Mystery', 'Thriller']",5000000,https://imdb-video.media-imdb.com/vi2685905945/1434659379400-8cjq25-1616202410183.mp4?Expires=1713477757&Signature=Fn00193d2SXhGKzv1xwsJQGnbqVs0l3VUkpKRdd~TLQEDGFXHoHLGGGL69axbeqbaw3VvVtF7Gx2LDz2ABzaw-VT4c-Q12HpVYl1BUuYiacuZSPapBEOGRHnfBRY6CAGjH1Ypc4nhBkK2nr1-iTbtiuNcpW3jYQH~sHWCRRBSefuBYVDoP6bc4kPQ29Gn48lj4duBdJkOckA2scmYKaYPHNHWwTbL4hSa39PRHUlgPfnZaa~gIc4fU73R~LbKtTC5BOmX~Ze-bT9LQUnrCvD~NcK61OMMlIhL2Mm8IHPsxBa781kjwZ377TLT3IqzN6Syz9-iu9NBWH3mM9tL6EPsQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Begin Again,"['Comedy', 'Drama', 'Music']",8000000,https://imdb-video.media-imdb.com/vi2629020953/1434659607842-pgv4ql-1616205504658.mp4?Expires=1713477552&Signature=NJD0H-SPnKa8k5yhFwjLQlDVdGezlUXphV3QuRhWWVWzGJZsohXCj5tbLLzG6zYMk4BCceVGZgYuPgvokZZmj3Pb4vFY6PRQTzwV79CjPrCLOvRwpHtCCXel65Hy7NGbbW-nZnGFJyZIxhgxzbua5i0UZejEl9KSRwmP4y5ZLMgWAgifsYaKm0fPBHJUKz7d9SRFhtOtVxw8MgwXYy3Ytn9zY9frWwtYt3z7FFxE2dxn0yiYmwsGPEl8JncSHHy295rnGDGgpjJa0aruqIjm~SIwkdtdOUy~FA9rtxmi2j0AfWzx9Xn0STtNInXKI7~mnMjhRoKVGNVzzC5sd8idRA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
"New York, I Love You","['Comedy', 'Drama', 'Romance']",14700000,https://imdb-video.media-imdb.com/vi1159856665/1434659607842-pgv4ql-1616198145558.mp4?Expires=1713477320&Signature=HOaS7Zz51Qzf4m1PyKzuozQyFMJHVRGpZRa5x9N3bUm6M09VHwLsupz7KKXepNIMNAQX4gL6WQoRiwBYZ9tVVysuyas0B0GQWqIhHjY5umP7rDjMJ7TCXe~93LpLNhKFfAPQ2piZ5TRlJ8xIEdDcfAQjYeDBI0IHsAWIwbL3bYWjh2XnbGf4AlOnHkqb3d5QqWNXn0mn3ytQOgbeLVZl7AGYU~~w51czBd7qGL6rBGSoarHnvHMeKuB2TX6mXWSkFMbKVcuSfmEyxYAIeWP4QXPlnGvOFZxWTvfLqSfDrhHuXR2zc9WCDZdsinZy7YwU2ACwGrd707WD15Vr~Bi4hw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Angels in the Outfield,"['Comedy', 'Drama', 'Family']",24000000,https://imdb-video.media-imdb.com/vi1696120345/1434659607842-pgv4ql-1593423324285.mp4?Expires=1713477768&Signature=rdkWPBRIRb15YmrSceHGDcfig4JEhh5eGeDAF7PKI07ZsocZ3SjpWdU0dagHknm62HHzxjYufxiakBF6IM8z5rR446xPM-4f6G2KPPLdf7wNLhMiaf3lcY~Lui6lLN2dpoENjs2pbDRrKuytpmclyCzThBe1Ebs42b2OtAHZEZ2mcFOLcCqQmUNHFK6tYyK9ACYABa7I6oj~8ZrqtPtSz686uZmmqQCtdxDgPI7OMIxUY5kiWIlAQFOX4IBEChuaUlJNDNc1P-VfIm37HgzNF0ehJqaZ8wP2T77pLNAI0sadQdiKwHg-4EcCj1bTSr4HnHXlMVCMZXE7tgxka9M5Xg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Scream VI,"['Horror', 'Mystery', 'Thriller']",35000000,https://imdb-video.media-imdb.com/vi382584089/1434659529640-260ouz-1674138938251.mp4?Expires=1713477777&Signature=dfc2QM9Y~Y5nB-kQewvfW8PekWoSUE61LgL2pH7Xp1OPyMg2v18eqs0z5POIJePZQMYDQP6Mx3GdhUt4iLcjD6eGZZYqK-AIlOK9kIJkovQ1YZQv-IikSgRSYJObFpWX3-tb4FcqILtSJwrTCoSn3h-r9pdYHJjZk-c7BpobiUO5HDcBfxRX2bFjDt3DgrLm92j6iKTxjB1IsK56lRI1lfrZmhmMmpbaMWfaPaP8sEuomsPqyFmd~sOV-ICXqJ9MHzJA-5PDYumUjpOQBwWfQWquAzJ61kkEmotLQZITxgjr~JooHw1WZL1jAtGQYi8ior750oqJuVTGiSsQS3XvYw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Ratatouille,"['Animation', 'Adventure', 'Comedy']",150000000,https://imdb-video.media-imdb.com/vi906147865/1434659607842-pgv4ql-1564526157083.mp4?Expires=1713477349&Signature=lOehdHnRyTpK0zcWid1CZ3H0k6cqhF7qT9NcZUEFuFuHbBGvbpi5yX14cU4uPa8Y9eRK3w0bzlCX9xwU0DTskAafeSGfuAXeDxZsGQtqsjA4V~FEytvflURC6JnZGkLU8iSDWLkZWHRFFBz12w8AXX~SudxFHg7y1GfCkvNw3lLtY0bn5z-M9N1Y3JGlY~uxEbfNEcmwyibwTV8dm-YFr9lywu1pWrW9Z8YdsbvXOss1ou-OuLgputlAYNp-~7lvL-g3SG0SULp9cvfmheYwC0fQGF~iA-BKASIJ-fEHfOjVB-s1RVxtXOWkGDZJ8KrK-jZCX16vg3eM3Iy56vIacw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Stardust,"['Adventure', 'Family', 'Fantasy']",70000000,https://imdb-video.media-imdb.com/vi4018471193/1434659607842-pgv4ql-1563549375123.mp4?Expires=1713477416&Signature=sypbp8Zy9OBQlsNlfymxLN9WwV5Z6TzF7EyQZr4k4PwOeW6kMghhbUstK3dWPNdF54wwmNOAKmQjNNsnLCuBJY5Azx11T~cblpuEtIPBJ7ymS4ws-C8SZAGVLySsgeD1ULw1KCVCC3sVr1sUY5d0nR0VwGVvCBnabN72mx3V0iF8~n7IjP9oWu0g3QCerC~c76c41SdPN1B5eV0YbTK0yQ68Vi6i5XiSC9nqfTmUymEvhpzJrKmEthaap5irhmkmfp0zMrYz-19lpRI9MmXwv4u5ihYBlqqkMiaZqGO3MzENRbS4re4nkFzBq8VmN3NYPAhmhX3YyDzx23yOhwDLWQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Dune: Part One,"['Action', 'Adventure', 'Drama']",165000000,https://imdb-video.media-imdb.com/vi3049046297/1434659529640-260ouz-1599668656226.mp4?Expires=1713477786&Signature=Z0b81G~AS8clxr0SSgfwptsVEoJg2huQ5Ia5q7pfLizfUiR7QJnfDIB1syDuI6p0ZwZOkxUAHRr9yHbra6Qx-cg3r2sOkFTIzc3yPAPJHCRh9zTmQSLMy6nkRNB33I3aHrKrrNFTDtL0z4SDh74Qzr~Yeo1C~Ht2J9AM6EQBxlTct8gcjVhCfM1ij~AM2xrqB~I-Bs6-vdBm~HSU8yBhGRMIkD5UV7IlBVFiQyYFAVmL3ngl2P8JBIajJozE7zT4EI~uNNGD-EBjmbbVMJDbwgSQjpq7TMUN9IjDcgtm7VgFeKDiimCtC~UYQpViW1qv24m4iLA44nuOINAKvyIVeQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Spotlight,"['Biography', 'Crime', 'Drama']",20000000,https://imdb-video.media-imdb.com/vi4025725465/1434659607842-pgv4ql-1447860454275.mp4?Expires=1713477460&Signature=Nw3gaeVNoHIOZUmezprEJHH1BVeFFJrXMn29hTE2qs-O1~Cyn6Zn3QVeghNORMC0YWmuD0JUiX0sSFbo6oIj6PqSN8JOdCR7~JVPraJ4gVMrxkCK9IrHDvBi0ghqIjQ~rof1QBjnjAbWLpUg30CXG3bmKKp5TkdUs0EUFSphDIBtTy84sTCBBfKC~L4o8OEsbUOfch0jawL4S8lFzAVcBcgToAEJTklp7oPTlAYinb4ci~pL2J12ipNRnQ3lf64HxHSZS0~e8LufR02ayKhiaAPBxjIpFsHfe1jOV3GjKsiKg8al83nbyX9K2an72OFE9jZzRHRbqLlVoAsOoAcddg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Green Mile,"['Crime', 'Drama', 'Fantasy']",60000000,https://imdb-video.media-imdb.com/vi552796441/1434659607842-pgv4ql-1563977441652.mp4?Expires=1713477670&Signature=bPWaROvCp-LShaVBPyzPE23oV8dAqM-rsqJrwbErkNiIxKDvCb9~4kTwtwalf7uSe1dIsubwB796R-IQhrYlQ3M~VihujurAsoDk3Je5k7bb3nzB5qPa4m3X8VxvIk39-jgiDLdVP9FNyTNGkrNPC9ir1l17gki6IkJJOrbE~wMtR0ZUnSsYKpYthCt-~wo1zSTBfIZhAfagUDOw5hPH7OYkaymF6NsYGzZtWnBzIiQkNrRo5IFwBs4vZOKylp339tjeWheWyez7L88kVxo-M6aBGjj8njty5-hhtMPsUkhi5W3wlhp7ur~O3IovhhArNVEcpZPDs9bpShpWRnixcQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
